Phase I,Phase II,Random
,-23.55065086831119,-23.54937774497561
,-23.550651906464118,-23.54945025731145
,-23.550652886343816,-23.549518714562158
,,-23.54958332460954
,,-23.54964432081112
,,-23.549701901515697
,,-23.54975624926408
,,-23.549807548769053
,,-23.549855975444228
,,-23.549901685688003
,,-23.549944838260068
,,-23.54998556875048
,,-23.550024011743456
,,-23.550060294135037
,,-23.5500945377216
,,-23.550126857222377
,,-23.550157370995848
,,-23.55018616563306
,,-23.550213340121303
,,-23.550238992684317
,,-23.55026320463114
,,-23.550286053492986
,,-23.55030762024473
,,-23.55032797470934
,,-23.550347183379664
,,-23.550365312488303
,,-23.5503824220281
,,-23.550398571843107
,,-23.550413815949415
,,-23.55042820249002
,,-23.550441777391708
,,-23.550454589955926
,,-23.55046668146436
,,-23.550478091248106
,,-23.550488861826395
,,-23.55049902083565
,,-23.550508612014575
,,-23.55051766239559
,,-23.550526204570794
,,-23.55053426736345
,,-23.55054187583908
,,-23.55054905393892
,,-23.550555828562658
,,-23.550562219366864
,,-23.550568252571516
,,-23.55057394566505
,,-23.550579317095796
,,-23.550584386069684
,,-23.55058916919287
,,-23.55059368404765
,,-23.550597943796703
,,-23.5506019642075
,,-23.550605758761122
,,-23.550609337305342
,,-23.55061271513253
,,-23.550615905091508
,,-23.55061891385788
,,-23.550621752068523
,,-23.550624431007787
,,-23.550626960126944
,,-23.550629347086335
,,-23.550631599213755
,,-23.550633723517226
,,-23.550635727875086
,,-23.550637620746837
,,-23.55063940586104
,,-23.550641091005957
,,-23.550642681490732
,,-23.5506441823807
,,-23.550645598506232
,,-23.55064693447094
,,-23.55064819466162
,,-23.550649384974644
,,-23.55065050668638
,,-23.550651566139884
,,-23.550652565219274
