Phase I,Phase II,Random
,,-41.63761989643729
,,-41.64252408239088
,,-41.646955796629385
,,-41.6509592927488
,,-41.6545749496209
,,-41.65783949913947
,,-41.6607863141287
,,-41.663445774964956
,,-41.66584537345544
,,-41.668010142090814
,,-41.669962703449755
,,-41.67172361209525
,,-41.67331144057466
,,-41.67474301143948
,,-41.67603355456644
,,-41.677196840734794
,,-41.678245300311694
,,-41.679190198826
,,-41.680041686639484
,,-41.68080895548977
,,-41.68150026386798
,,-41.682123095779865
,,-41.68268421048694
,,-41.683189699154326
,,-41.68364505047095
,,-41.68405521415662
,,-41.68442466350187
,,-41.68475743354215
,,-41.68505714794872
,,-41.685327082010005
,,-41.68557019451767
,,-41.68578914111301
,,-41.68598631521714
,,-41.686163883556034
,,-41.68632379295202
,,-41.68646779439024
,,-41.68659746823288
,,-41.68671423811547
,,-41.68681938527126
,,-41.68691406637517
,,-41.68699932427884
,,-41.6870760920705
,,-41.68714521731754
,,-41.68720745968914
,,-41.687263505725
,,-41.68731396966182
,,-41.68735940755356
,,-41.68740032117455
,,-41.68743715787761
,,-41.687470325841616
,,-41.68750018915878
,,-41.687527076746505
,,-41.68755128646635
,,-41.68757308304701
,,-41.68759270892321
,,-41.687610378935574
,,-41.68762628904929
,,-41.68764061397086
,,-41.68765351007916
,,-41.68766512219841
,,-41.68767557747346
,,-41.687684990032565
,,-41.6876934646243
,,-41.6877010943955
,,-41.68770796430364
,,-41.687714149681696
,,-41.687719718762416
,,-41.68772473192789
,,-41.687729245631814
,,-41.6877333095788
,,-41.68773696869925
,,-41.687740262833714
,,-41.68774322870329
,,-41.687745898750485
,,-41.687748302891755
,,-41.68775046745469
,,-41.68775241617545
,,-41.68775417043685
,,-41.68775574999968
,,-41.687757172110295
,,-41.687758452049
,,-41.68775960466235
,,-41.68776064216762
,,-41.687761576343426
